equipment_id,equipment_eq_id,equipment_name,department,wo_id,audit_item,status,due_date,work_performed_by,assigned_to,labor_time,material_cost,downtime_hours,completed_datetime,comments,attachments
5197,EQ ID 5197,Floor Drain Tanks,Facilites,4150,Empty floor drain tanks,Closed without Action,7/27/2023,NA,Outside Service,0.00,0.00,0.00,5/19/2025,"Nicholas Angelo, Jr - 05/19/25  7:50:34 AM: Closing to have WO repopulate with up to date schedule. No comments, assumed work has been performed and not documented or has been neglected. Will confirm with those assigned the WO. Check Past Due PM Maintenance Log for details.
-NAJ",[]
758,EQ ID 758,Emergency Generator,Facilites,15803,"Test Generator under load, check oil, radiator fluid and room condition.",Pending,6/19/2025,,Supervisor,0.00,0.00,0.00,,,[]
758,EQ ID 758,Emergency Generator,Facilites,15826,"Test Generator under load, check oil, radiator fluid and room condition.",Pending,6/19/2025,,Supervisor,0.00,0.00,0.00,,,[]
758,EQ ID 758,Emergency Generator,Facilites,506,"Test Generator under load, check oil, radiator fluid and room condition.",Closed and Completed,4/18/2022,Matt Miller,Supervisor,0.25,0.00,0.00,8/1/2022,,[]
758,EQ ID 758,Emergency Generator,Facilites,2735,"Test Generator under load, check oil, radiator fluid and room condition.",Closed and Completed,11/13/2022,Matt,Supervisor,0.00,0.00,0.00,11/1/2022,,[]
758,EQ ID 758,Emergency Generator,Facilites,3359,"Test Generator under load, check oil, radiator fluid and room condition.",Closed and Completed,12/29/2022,MM,Supervisor,0.00,0.00,0.00,1/2/2023,,[]
758,EQ ID 758,Emergency Generator,Facilites,4152,"Test Generator under load, check oil, radiator fluid and room condition.",Closed and Completed,2/27/2023,Matt M,Supervisor,0.00,0.00,0.00,6/1/2023,Jake Demers - 06/15/23  9:26:45 AM: Discontinued,[]
758,EQ ID 758,Emergency Generator,Facilites,6052,"Test Generator under load, check oil, radiator fluid and room condition.",Closed and Completed,7/15/2023,Jake D,Supervisor,0.00,0.00,0.00,1/1/2024,,[]
758,EQ ID 758,Emergency Generator,Facilites,9684,"Test Generator under load, check oil, radiator fluid and room condition.",Closed without Action,2/12/2024,NA,Supervisor,0.00,0.00,0.00,5/19/2025,"Nicholas Angelo, Jr - 05/19/25  7:59:41 AM: Closing to have WO repopulate with up to date schedule. No comments, assumed work has been performed and not documented or has been neglected. Will confirm with those assigned the WO. Check Past Due PM Maintenance Log for details.
-NAJ",[]
766,EQ ID 766,Overhead Fire Doors,Facilites,15817,Drop test doors,Pending,5/19/2026,,Outside Service,0.00,0.00,0.00,,,[]
766,EQ ID 766,Overhead Fire Doors,Facilites,509,Drop test doors,Closed and Completed,3/18/2023,Outside contractor,Outside Service,0.00,0.00,0.00,3/17/2023,Jake Demers - 06/15/23  9:36:03 AM: Discontinued,[]
766,EQ ID 766,Overhead Fire Doors,Facilites,6072,Drop test doors,Closed without Action,6/15/2024,NA,Outside Service,0.00,0.00,0.00,5/19/2025,"Nicholas Angelo, Jr - 05/19/25  8:19:14 AM: Closing to have WO repopulate with up to date schedule. No comments, assumed work has been performed and not documented or has been neglected. Will confirm with those assigned the WO. Check Past Due PM Maintenance Log for details.
-NAJ",[]
